sentence1,sentence2,gold_label
Deli workers hand paper plates of food across a counter to customers.,The people are at the bank.,contradiction
A young man getting ready to hit a can with a orange and purple bat.,A man is sitting in a chair eating food.,contradiction
Workers are busy erecting scaffolding on the street of a commercial business.,The workers are wearing dresses.,contradiction
The girls are playing with foam swords.,Girls are having a tea party.,contradiction
NYPD officers watch people on a boardwalk near the beach.,The officers are playing ice hockey.,contradiction
A man reading a newspaper inside a laundromat.,"The man is trying to smoke meat in his backyard, but is unable to get the fire lit.",contradiction
Military couple enjoying dance at officers function.,Nobody is dancing,contradiction
A sitting figure kisses a woman with a guitar on her back in front of a body of water.,A dog kisses a woman with a guitar.,contradiction
A man throwing a hatchet.,A women is sitting at home alone reading 50 shades of grey.,contradiction
A young boy jumping up and down holding a fishing net.,The boy is sitting down.,contradiction
A bride questioning her future marriage.,The groom is worried.,contradiction
It looks as though a soldier is sleeping in a car on his way home after a deployment.,A man is talking animatedly.,contradiction
An older man in a purple shirt sitting on a bench with his foot on a pole.,The man is very young.,contradiction
"A bride and groom watching a guitarist, as he plays for the crowd.","The bride, groom, and guitarist is sleeping.",contradiction
An Oriental man is attaching a hook to a bamboo stick.,The man is swimming in the lake.,contradiction
A child is posing with a funny by for the camera by the water.,The kid is running thru the water chasing a duck.,contradiction
An Asian man sells a hot confection from his stand in a crowded market.,The woman was selling clothes at the marketplace.,contradiction
A man wakeboards in a red vest and smiles for the camera.,the man is taking a picture while the wakeboard is smiling,contradiction
An asian girl wearing a gray and white stripe shirt smiling at the camera while serving herself something.,Nobody is smiling.,contradiction
There is a man in all black in the doorway of a building with the number 363 on it while a construction worker in gray with red stripes and a helmet is outside walking on the left.,The construction worker is working indoors on an office room.,contradiction
A couple of playful kids in sweats and jeans romp on the grass.,A couple of playful men in sweats and jeans romp on the grass.,contradiction
A dog in mid-leap into a pool.,A cat jumping.,contradiction
Two look-alike dogs running in the green grass.,The dogs are playing poker.,contradiction
An Indian man working on a stone wall.,An Indian man is sleeping next to the stone wall.,contradiction
Spectators watch a snowboarder in mid-flight amid a snowy landscape.,Spectators watch a snowblower in mid-flight amid a snowy landscape.,contradiction
Three men discuss business over beers at a bar.,They are at an AA meeting.,contradiction
Three people are running and the one man in the middle is giving a thumbs up.,Three people are running and the one man in the middle is flipping them the bird.,contradiction
Two men are watching something.,Two men are sleeping,contradiction
A young woman wearing a glittery black costume glides across the ice.,A little boy is learning how to skate with his dad.,contradiction
A young man wheels cargo dollies to assigned destination.,A man leaves the cargo dollies behind and goes home.,contradiction
A woman is standing in front of a line of other women wearing a white dress and a white veil while a man is heading towards her.,A man is sitting on a bench.,contradiction
two girls on a bridge dancing with the city skyline in the background,The girls are dancing with nothing but the sky in the background.,contradiction
Little kids with colorful skirts over their clothes are dancing.,Adults sit and eat.,contradiction
Two adult workers from a local company are getting a large amount of food ready on a buffet for a festive picnic with styrofoam plates and bowls.,The local workers are setting food on man different tables.,contradiction
A woman and a man pointing to the left are on a street corner in front of a green store that sells tobacco and magazines.,A man is standing by himself on the sidewalk.,contradiction
A teen with a purse squats on a curb.,The girl watches TV in the hotel room.,contradiction
A group of children with bright smiles on their faces pose with a backdrop of a beautiful sea and the sunset.,The children were angrily stomping around the beach and refusing to pose for a picture.,contradiction
